,Vendargues,Montpellier est,Montpellier sud,Montpellier ouest,St-Jean-de-Vedas,Peage de Montpellier St-Jean,Sete,Agde Pezenas,Peage de Beziers-Cabrials,Beziers ouest,Narbonne est ,Narbonne sud,Sigean ,Leucate,Perpignan nord,Perpignan sud,Le Boulou  (peage sys ferme),Peage du Perthus,Le Boulou (peage sys ouvert),Frontiere Espagnole,Lezignan,Carcassone est,Carcassone ouest,Bram,Castelnoudary,Villefranche-de-Lauragais,Nailloux,Mazeres-Saverdun,Peage de pamiers,Pamiers nord,Pamiers sud,Montgiscard,Peage de Toulouse sud/ouest,Le palays,Peage de Toulouse sud/est,Montaudran,Lasbordes,Soupetrad,La Roseraie,La Croix Daurade,Borderouge,Les lzards,Sesquieres
Narbonne est ,93.87573664538768,86.97324565219525,83.09850519456984,81.0478298558257,77.80199674659058,77.49458511456794,62.47402382888343,38.069390675986156,27.691536348432624,20.802430085072807,0.0,3.619808220791136,17.2667929212741,26.926390712838366,45.2321296570914,58.696101566733795,74.50777874290445,74.19615564185013,74.50777874290445,80.35280219298458,23.740812841875776,49.8682943468357,59.307129343262055,76.24057539915594,89.1330667952205,111.26453962797606,116.67868999912376,113.11624873060813,115.09179009267172,114.96719867809264,114.32529045009254,121.51030855587965,130.67456293794947,131.67923896382007,130.67456293794947,131.99175223835002,132.8816733174152,134.06026610525072,135.29566073655502,136.7484804030264,137.87287731782243,139.04509097549388,140.41531160862283
Narbonne sud,97.43961522918963,90.54894788243404,86.67466276906953,84.62685269112305,81.37485106586128,81.0675239222312,66.05595493366016,41.62386084734341,31.16160436335299,24.26536318394561,3.619808220791136,0.0,14.817808400376743,24.98264296857831,43.041172517927684,56.514813992702734,72.32643103795586,72.01686294469366,72.32643103795586,78.36144122779487,20.44522357010596,46.67311658159896,56.09807742664762,73.1231810970138,86.1168413196309,108.42122343088593,113.78937534000956,109.94263027908437,111.78853594316597,111.65486355705943,110.99416881848727,118.76384865168849,128.06734707054616,129.09266443597397,128.06734707054616,129.43646964748436,130.36962491765445,131.57066242158012,132.84464369780716,134.32656951784273,135.44673325938518,136.61129886681675,137.97127024268553
Sigean ,108.82727341434395,101.79147357453338,97.9290782772153,95.84591758252881,92.70868587593534,92.40182790789785,77.35299851378083,53.56580871252708,43.9299185444765,37.20980064607566,17.2667929212741,14.817808400376743,0.0,10.563856692476826,28.240911715340786,41.709320393288955,57.516734422277246,57.207625300032625,57.516734422277246,63.62272924710895,22.810730005193367,46.820932667678676,55.682169918890224,72.98518189978196,86.51525674693102,109.73857570095575,114.74362405583366,108.76682677436557,109.38730105243701,109.16249674126436,108.31291200498877,120.60447810464538,130.67054545304367,131.80740169279622,130.67054545304367,132.32695806917232,133.4952703571718,134.81147512767075,136.28625395165247,137.91391260154185,139.00419018694777,140.1204105735729,141.4168042457644
Leucate,114.79684943372439,107.68946843064967,103.86782796324792,101.77312615154077,98.75831149945292,98.45463238467273,83.53849136889488,60.650297153832994,51.850464611060445,45.44679194803934,26.926390712838366,24.98264296857831,10.563856692476826,0.0,18.416164736310375,31.82447897936726,47.61795073491366,47.305335539150725,47.61795073491366,53.43730809310754,31.560518117079962,52.94561718125404,61.15538962093942,78.18385691006279,91.81012027219683,115.32416355943566,120.07131439408529,112.81279711007856,112.60654442414028,112.32135477371821,111.34989731283306,126.4128632510338,136.85454493465025,138.04833573337925,136.85454493465025,138.66425037893512,139.95801645332796,141.33150091308895,142.9099847226925,144.60990841033197,145.67865442774885,146.7630848625592,148.0184249362341
Perpignan nord,131.54444798229756,124.41322230621817,120.64336983829097,118.55083838554113,115.64680564210248,115.34720477302268,100.61955139643464,78.43929457738864,70.04125026376143,63.75313705756763,45.2321296570914,43.041172517927684,28.240911715340786,18.416164736310375,0.0,13.475384005512623,29.290477820710485,28.98012274047986,29.290477820710485,35.457591186502654,44.702283027525155,59.91910387715262,66.44650825760337,82.15971933976407,95.5120337874396,119.04688831907816,123.21573238573679,113.68851825428928,111.98082061980432,111.59274879795116,110.42265607958026,130.3872704127103,141.43052988697926,142.7237604282797,141.43052988697926,143.52600634684535,145.0582963364443,146.53257197933027,148.30537783239467,150.13545527774582,151.14869086590022,152.15652577333304,153.31471610661018
Perpignan sud,143.33194527341678,136.20237508735732,132.48265788795956,130.39817824833938,127.58602369345175,127.2904032656598,112.75157134337572,91.17159320532255,83.11856870626252,76.95133384171412,58.696101566733795,56.514813992702734,41.709320393288955,31.82447897936726,13.475384005512623,0.0,15.8155497191106,15.504960438350581,15.8155497191106,22.18582105573345,56.959793478276666,69.0702559477863,74.47088279896155,88.96456990823748,101.85965426583428,125.0456482703557,128.7881420904597,117.87461600167126,115.15230964461988,114.69792581247907,113.40650043462476,136.4187983220265,147.74472868487268,149.0907692634238,147.74472868487268,150.00576896262567,151.67795353117225,153.20476373329626,155.08753308556356,156.98657413904897,157.95712021739033,158.90888341088083,159.99675361561094
Le Boulou  (peage sys ferme),157.58608340930627,150.47394352175243,146.81042397326254,144.73853790101336,142.01926137433924,141.72806433290165,127.39911882242653,106.3941070656375,98.63597144083649,92.56974062024182,74.50777874290445,72.32643103795586,57.516734422277246,47.61795073491366,29.290477820710485,15.8155497191106,0.0,0.31499400826636825,0.0,7.7030591841597085,71.85179832852603,81.25616679530212,85.5350893719568,98.58224536220024,110.8068893893168,133.33941522176366,136.5907900212311,124.32348404820274,120.53890516504707,120.0189130441023,118.61475602628796,144.63637828268477,156.17096182443663,157.56350873837738,156.17096182443663,158.59247608678302,160.40241671012635,161.97493926042594,163.96277281014036,165.92336144418735,166.84210419443184,167.72782407596785,168.7334612319507
Peage du Perthus,157.2817037769885,150.16928212961565,146.50509332730388,144.43304291309119,141.71272991446736,141.42148228369078,127.0902224992692,106.08033587282847,98.321002365425,92.25482150594463,74.19615564185013,72.01686294469366,57.207625300032625,47.305335539150725,28.98012274047986,15.504960438350578,0.31499400826636825,0.0,0.31499400826636825,7.905468995590835,71.57109812221088,81.03529234647814,85.33800255289123,98.41708727247384,110.6574191991924,133.20624260736344,136.46805868845973,124.22682073756074,120.46313303196527,119.94437998819416,118.54226558864214,144.50591904303306,156.03717548499807,157.4288655317762,156.03717548499807,158.45554256829698,160.26274944486207,161.83443232635807,163.8202117732933,165.7796467887671,166.6995344633452,167.58669404800202,168.5941161136428
Le Boulou (peage sys ouvert),157.58608340930627,150.47394352175243,146.81042397326254,144.73853790101336,142.01926137433924,141.72806433290165,127.39911882242653,106.3941070656375,98.63597144083649,92.56974062024182,74.50777874290445,72.32643103795586,57.516734422277246,47.61795073491366,29.290477820710485,15.8155497191106,0.0,0.31499400826636825,0.0,7.7030591841597085,71.85179832852603,81.25616679530212,85.5350893719568,98.58224536220024,110.8068893893168,133.33941522176366,136.5907900212311,124.32348404820274,120.53890516504707,120.0189130441023,118.61475602628796,144.63637828268477,156.17096182443663,157.56350873837738,156.17096182443663,158.59247608678302,160.40241671012635,161.97493926042594,163.96277281014036,165.92336144418735,166.84210419443184,167.72782407596785,168.7334612319507
Frontiere Espagnole,160.89615591722762,153.81520376537492,150.21376562884603,148.15871070434304,145.53675521453417,145.25061495603097,131.17050706491764,110.89099727372287,103.59404048412078,97.73263357385039,80.35280219298458,78.36144122779487,63.62272924710895,53.43730809310754,35.457591186502654,22.18582105573345,7.7030591841597085,7.905468995590835,7.7030591841597085,0.0,78.95209851956116,88.92671108554704,93.23806530664127,106.22590276036402,118.3848103385359,140.82532876691585,144.00755259605668,131.53688829831216,127.5563486226118,127.02398885849807,125.59946196760458,152.10407629800048,163.65868592311529,165.05641029160168,163.65868592311529,166.09914012697277,167.92494252605832,169.50216253897256,171.50137031655285,173.4681613278186,174.38060047063829,175.25825243736648,176.25365465708742
